URI,Genre
spotify:track:46iI0binWzpkEJgIWTYUBR,roots rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,alternative rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,blues rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,detroit rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,garage rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,modern blues rock
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,permanent wave
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,punk blues
spotify:track:3m6KkYKdnbffMpGd9Pm9FP,rock
spotify:track:54KFQB6N4pn926IUUYZGzK,compositional ambient
spotify:track:54KFQB6N4pn926IUUYZGzK,downtempo
spotify:track:54KFQB6N4pn926IUUYZGzK,nu jazz
spotify:track:0Q24mg3fSrFI12AIqF43JL,mpb
spotify:track:0Q24mg3fSrFI12AIqF43JL,rock nacional brasileiro
spotify:track:0UZ3juSCFsN6lINBadUZNZ,afrobeat brasileiro
spotify:track:0UZ3juSCFsN6lINBadUZNZ,brazilian hip hop
spotify:track:0UZ3juSCFsN6lINBadUZNZ,brazilian reggae
spotify:track:0UZ3juSCFsN6lINBadUZNZ,latin afrobeat
spotify:track:0UZ3juSCFsN6lINBadUZNZ,manguebeat
spotify:track:0UZ3juSCFsN6lINBadUZNZ,mpb
spotify:track:1tqNjCuAIoG1kyBfs8DfZE,brazilian reggae
spotify:track:1tqNjCuAIoG1kyBfs8DfZE,reggae gaucho
spotify:track:1tqNjCuAIoG1kyBfs8DfZE,rock gaucho
spotify:track:1O5qBgWDXf19N75X7Bvilv,dance-punk
spotify:track:1O5qBgWDXf19N75X7Bvilv,garage rock
spotify:track:1O5qBgWDXf19N75X7Bvilv,garage rock revival
spotify:track:5FgtdSf7I5lClThz2ptWvl,eurodance
spotify:track:5FgtdSf7I5lClThz2ptWvl,europop
spotify:track:5FgtdSf7I5lClThz2ptWvl,italian adult pop
spotify:track:5FgtdSf7I5lClThz2ptWvl,italo dance
spotify:track:4IzeKSjXW67WLRV5WG7F3A,brazilian emo
spotify:track:4IzeKSjXW67WLRV5WG7F3A,brazilian punk
spotify:track:4IzeKSjXW67WLRV5WG7F3A,brazilian rock
spotify:track:4IzeKSjXW67WLRV5WG7F3A,pop rock brasileiro
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,candy pop
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,dance pop
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,electropop
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,metropopolis
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,swedish electropop
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,swedish synthpop
spotify:track:63OFKbMaZSDZ4wtesuuq6f,acid rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,album rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,blues rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,british blues
spotify:track:63OFKbMaZSDZ4wtesuuq6f,classic canadian rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,classic rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,hard rock
spotify:track:63OFKbMaZSDZ4wtesuuq6f,proto-metal
